"","0","1","p","test"
"n","   807","   629","",""
"age (mean (sd))"," 47.53 (16.58)"," 73.60 (13.41)","<0.001",""
"wbc (mean (sd))"," 14.73 (8.49)"," 11.91 (13.65)","<0.001",""
"nit (mean (sd))","  0.10 (0.30)","  0.11 (0.31)"," 0.690",""
"uwbc (mean (sd))","237.63 (2286.69)","547.56 (2978.07)"," 0.026",""
"plt (mean (sd))","216.28 (124.43)","182.12 (92.53)","<0.001",""
"pct (mean (sd))"," 11.02 (24.87)","  3.36 (12.92)","<0.001",""
"l (mean (sd))","  0.08 (0.05)","  0.15 (0.12)","<0.001",""
"il6 (mean (sd))","678.97 (1366.17)","359.03 (968.12)","<0.001",""
"crp (mean (sd))"," 11.19 (9.69)","  4.33 (5.05)","<0.001",""
"baso (mean (sd))","  0.00 (0.01)","  0.01 (0.03)"," 0.194",""
"eos (mean (sd))","  0.00 (0.02)","  0.01 (0.05)","<0.001",""
"lym (mean (sd))","  0.08 (0.05)","  0.15 (0.12)","<0.001",""
"mono (mean (sd))","  0.04 (0.02)","  0.06 (0.05)","<0.001",""
"neut (mean (sd))","  0.87 (0.07)","  0.78 (0.15)","<0.001",""
