"","OR(95% CI)","P_value"
"(Intercept)","6.183 ( 0.001 , 2677.291 )","0.559"
"sex1","0.951 ( 0.756 , 1.196 )","0.665"
"age","1.017 ( 1.011 , 1.023 )","0"
"wbc","0.984 ( 0.97 , 0.996 )","0.015"
"nit","1.001 ( 0.691 , 1.457 )","0.994"
"uwbc","1 ( 1 , 1 )","0.097"
"plt","1.001 ( 1 , 1.002 )","0.023"
"pct","1.006 ( 0.999 , 1.013 )","0.126"
"il6","1 ( 1 , 1 )","0.006"
"crp","1.057 ( 1.041 , 1.074 )","0"
"baso","0.973 ( 0.934 , 1.013 )","0.178"
"eos","0.308 ( 0 , 4225.977 )","0.737"
"lym","0.029 ( 0 , 251.534 )","0.26"
"mono","0.22 ( 0 , 2632.3 )","0.658"
"neut","0.042 ( 0 , 365.088 )","0.309"
